"objectid";"code";"typ";"katnam";"desk1";"desk3";"deskn1";"aend";"shape"
502629;"1";"LFT";0;"NO2";"2015";14.01;2018-05-29 15:42:48;"SRID=4326;POLYGON((13.90768816028295340459 51.00559397594964394784,13.92192726230199362192 51.00536044509304645089,13.92229882139408836395 51.01434425981887699209,13.90805699547958163009 51.0145778818736488347,13.90768816028295340459 51.00559397594964394784))"
502630;"1";"LFT";0;"NO2";"2015";13.87;2018-05-29 15:42:48;"SRID=4326;POLYGON((13.92192726230199362192 51.00536044509304645089,13.93616620485869717072 51.00512515952473791003,13.93654052984122770908 51.01410890986856117024,13.92229882139408836395 51.01434425981887699209,13.92192726230199362192 51.00536044509304645089))"
502631;"1";"LFT";0;"NO2";"2015";16.27;2018-05-29 15:42:48;"SRID=4326;POLYGON((13.65167152015676244048 51.01848580497775031972,13.66591675451229193072 51.01828348105519950195,13.66623909294397698488 51.02726845066691652164,13.65199108904888447569 51.0274708194974948583,13.65167152015676244048 51.01848580497775031972))"
502632;"1";"LFT";0;"NO2";"2015";17.46;2018-05-29 15:42:48;"SRID=4326;POLYGON((13.66591675451229193072 51.01828348105519950195,13.68016157175502733878 51.01807932566834580257,13.68048668109486953881 51.02706419587534725224,13.66623909294397698488 51.02726845066691652164,13.66591675451229193072 51.01828348105519950195))"
502633;"1";"LFT";0;"NO2";"2015";23.9;2018-05-29 15:42:48;"SRID=4326;POLYGON((13.68016157175502733878 51.01807932566834580257,13.69440620890128990084 51.01787347652501125594,13.69473384412624916706 51.02685833396391501537,13.68048668109486953881 51.02706419587534725224,13.68016157175502733878 51.01807932566834580257))"
502634;"1";"LFT";0;"NO2";"2015";20.43;2018-05-29 15:42:48;"SRID=4326;POLYGON((13.69440620890128990084 51.01787347652501125594,13.70865076435074492167 51.01766593479021594248,13.70898109795058239513 51.02665072691281267225,13.69473384412624916706 51.02685833396391501537,13.69440620890128990084 51.01787347652501125594))"
502635;"1";"LFT";0;"NO2";"2015";18.83;2018-05-29 15:42:48;"SRID=4326;POLYGON((13.70865076435074492167 51.01766593479021594248,13.72289523821465095921 51.01745664654870893173,13.72322846842363297526 51.02644141994741744384,13.70898109795058239513 51.02665072691281267225,13.70865076435074492167 51.01766593479021594248))"
502636;"1";"LFT";0;"NO2";"2015";21.02;2018-05-29 15:42:48;"SRID=4326;POLYGON((13.72289523821465095921 51.01745664654870893173,13.73713934401262903862 51.01724560874497882423,13.73747549993578687122 51.02623033616977465954,13.72322846842363297526 51.02644141994741744384,13.72289523821465095921 51.01745664654870893173))"
502637;"1";"LFT";0;"NO2";"2015";18.99;2018-05-29 15:42:48;"SRID=4326;POLYGON((13.73713934401262903862 51.01724560874497882423,13.75138347892525381155 51.01703284375499691805,13.75172248968712374051 51.02601750586863715853,13.73747549993578687122 51.02623033616977465954,13.73713934401262903862 51.01724560874497882423))"
502638;"1";"LFT";0;"NO2";"2015";21.85;2018-05-29 15:42:48;"SRID=4326;POLYGON((13.75138347892525381155 51.01703284375499691805,13.76562739972524695986 51.016818331023166877,13.76596912310688125558 51.02580290776180049761,13.75172248968712374051 51.02601750586863715853,13.75138347892525381155 51.01703284375499691805))"
