"objectid";"code";"typ";"katnam";"desk1";"desk3";"deskn1";"aend";"shape"
232740;"1";"LFT";0;"NO2";"2013";21.7;2016-01-28 15:32:27;"SRID=4326;POLYGON((13.66623909294397698488 51.02726845066691652164,13.68048668109486953881 51.02706419587534725224,13.68081164830188178883 51.03604931071990336022,13.66656158039659096914 51.0362534074559448527,13.66623909294397698488 51.02726845066691652164))"
232741;"1";"LFT";0;"NO2";"2013";18.29;2016-01-28 15:32:27;"SRID=4326;POLYGON((13.68048668109486953881 51.02706419587534725224,13.69473385838196399789 51.02685833412316895874,13.69506184044753993589 51.0358433427267073057,13.68081164830188178883 51.03604931071990336022,13.68048668109486953881 51.02706419587534725224))"
232724;"1";"LFT";0;"NO2";"2013";22.5;2016-01-28 15:32:27;"SRID=4326;POLYGON((13.79411502136421141529 51.01638404906181989418,13.80835845957105689763 51.01616440312741218577,13.80870820458999759239 51.02514877326303377458,13.79446212708063512764 51.02536844398938598033,13.79411502136421141529 51.01638404906181989418))"
232725;"1";"LFT";0;"NO2";"2013";19.78;2016-01-28 15:32:27;"SRID=4326;POLYGON((13.80835845957105689763 51.01616440312741218577,13.8226015219507463172 51.01594298115654169123,13.82295413649702098269 51.02492723836788712788,13.80870820458999759239 51.02514877326303377458,13.80835845957105689763 51.01616440312741218577))"
232726;"1";"LFT";0;"NO2";"2013";17.61;2016-01-28 15:32:27;"SRID=4326;POLYGON((13.8226015219507463172 51.01594298115654169123,13.83684456495981862645 51.01571972389455567054,13.83719993507948231581 51.02470385747461278925,13.82295413649702098269 51.02492723836788712788,13.8226015219507463172 51.01594298115654169123))"
232727;"1";"LFT";0;"NO2";"2013";17.73;2016-01-28 15:32:27;"SRID=4326;POLYGON((13.83684456495981862645 51.01571972389455567054,13.8510874971339337236 51.01549481031533161968,13.85144555117017972634 51.02447882800029077544,13.83719993507948231581 51.02470385747461278925,13.83684456495981862645 51.01571972389455567054))"
232728;"1";"LFT";0;"NO2";"2013";15.66;2016-01-28 15:32:27;"SRID=4326;POLYGON((13.8510874971339337236 51.01549481031533161968,13.86533020530618109944 51.01526814944028132004,13.86569094198886809011 51.02425209564768238124,13.85144555117017972634 51.02447882800029077544,13.8510874971339337236 51.01549481031533161968))"
232729;"1";"LFT";0;"NO2";"2013";13.95;2016-01-28 15:32:27;"SRID=4326;POLYGON((13.86533020530618109944 51.01526814944028132004,13.87957268784054498667 51.01503975033681825835,13.87993616361328896858 51.024023643059308597,13.86569094198886809011 51.02425209564768238124,13.86533020530618109944 51.01526814944028132004))"
232730;"1";"LFT";0;"NO2";"2013";13.02;2016-01-28 15:32:27;"SRID=4326;POLYGON((13.87957268784054498667 51.01503975033681825835,13.89381497012085731058 51.01480968527840076376,13.89418114144372751184 51.02379355053424347943,13.87993616361328896858 51.024023643059308597,13.87957268784054498667 51.01503975033681825835))"
232731;"1";"LFT";0;"NO2";"2013";12.52;2016-01-28 15:32:27;"SRID=4326;POLYGON((13.89381497012085731058 51.01480968527840076376,13.90805699526841188174 51.01457789086449423621,13.90842586285997306561 51.02356169215202896794,13.89418114144372751184 51.02379355053424347943,13.89381497012085731058 51.01480968527840076376))"
232732;"1";"LFT";0;"NO2";"2013";12.23;2016-01-28 15:32:27;"SRID=4326;POLYGON((13.90805699526841188174 51.01457789086449423621,13.92229880714103096295 51.01434425968741237511,13.92267051279331546709 51.02332802475500272976,13.90842586285997306561 51.02356169215202896794,13.90805699526841188174 51.01457789086449423621))"
232733;"1";"LFT";0;"NO2";"2013";12.11;2016-01-28 15:32:27;"SRID=4326;POLYGON((13.92229880714103096295 51.01434425968741237511,13.93654053004688719852 51.0141089008776305036,13.93691501684176614617 51.02309261964205688855,13.92267051279331546709 51.02332802475500272976,13.92229880714103096295 51.01434425968741237511))"
232734;"1";"LFT";0;"NO2";"2013";12.06;2016-01-28 15:32:27;"SRID=4326;POLYGON((13.93654053004688719852 51.0141089008776305036,13.95078209050690176696 51.01387184978586475381,13.95115927299174352072 51.02285551192882451232,13.93691501684176614617 51.02309261964205688855,13.93654053004688719852 51.0141089008776305036))"
232735;"1";"LFT";0;"NO2";"2013";13.65;2016-01-28 15:32:27;"SRID=4326;POLYGON((13.59499808612597959723 51.02826325963831521904,13.60924661619684528091 51.02806780186598700766,13.60955806013153157608 51.03705299850949472784,13.59530678636002321014 51.03724852631039254902,13.59499808612597959723 51.02826325963831521904))"
232736;"1";"LFT";0;"NO2";"2013";14.74;2016-01-28 15:32:27;"SRID=4326;POLYGON((13.60924661619684528091 51.02806780186598700766,13.62349496175574614654 51.02787055040425912011,13.62380917697679372225 51.0368557037742576199,13.60955806013153157608 51.03705299850949472784,13.60924661619684528091 51.02806780186598700766))"
232737;"1";"LFT";0;"NO2";"2013";17.45;2016-01-28 15:32:27;"SRID=4326;POLYGON((13.62349496175574614654 51.02787055040425912011,13.63774310602899220157 51.02767154111033676145,13.63806014786931264382 51.03665670525402475732,13.62380917697679372225 51.0368557037742576199,13.62349496175574614654 51.02787055040425912011))"
232738;"1";"LFT";0;"NO2";"2013";19.23;2016-01-28 15:32:27;"SRID=4326;POLYGON((13.63774310602899220157 51.02767154111033676145,13.65199110356534184518 51.0274708106719927514,13.65231087370506202205 51.0364559299282021243,13.63806014786931264382 51.03665670525402475732,13.63774310602899220157 51.02767154111033676145))"
232739;"1";"LFT";0;"NO2";"2013";20.11;2016-01-28 15:32:27;"SRID=4326;POLYGON((13.65199110356534184518 51.0274708106719927514,13.66623909294397698488 51.02726845066691652164,13.66656158039659096914 51.0362534074559448527,13.65231087370506202205 51.0364559299282021243,13.65199110356534184518 51.0274708106719927514))"
