"id_immi";"jahr";"strname";"von_krz";"bis_krz";"no2_i1";"pm10_ist";"aend";"kattime";"laenge";"sta_id";"eskn_id";"shape"
12380;2013;"Bühlauer Straße SW";"Alter Bahndamm ";"Buswendestelle";13.3;18.1;2015-11-16 11:17:24;5510;312.78121;"07410012";5510;"SRID=4326;LINESTRING(13.93074541651719400193 51.04040410204238753522,13.93057568472870499932 51.04039123602120042733,13.93024676644309955975 51.04033994341357782787,13.92982094182478114419 51.04025447126769421402,13.92940324942152763299 51.04015909009591211998,13.92925088218653328909 51.0401243939141266992,13.92908769319507555906 51.04010126198004826392,13.9288762871551732303 51.04010061044125734497,13.92870207926032932733 51.0401043912387208934,13.92843246735489515231 51.04011524660852217039,13.92816768557996986999 51.04014610959815456681,13.92741179722577093969 51.04028735708784125791,13.92667789045710513562 51.04044195800894101467,13.92644628510297444279 51.04048943468954036007)"
12380;2013;"Bühlauer Straße SW";"Buswendestelle ";"Alter Bahndamm";13.3;18.1;2015-11-16 11:17:24;5511;72.34143;"07410014";5511;"SRID=4326;LINESTRING(13.92644628510297444279 51.04048943468954036007,13.92611370569244044759 51.04054668446030262885,13.92585772630738993882 51.04057484434881786228,13.92560649285694296395 51.04058158157577906877,13.92543089048440130284 51.04058574036360340642)"
1615;2013;"Königsheimplatz ";"Senefelderstr. ";"Forsthausstr.";24.8;23.8;2015-11-16 11:17:24;5963;65.47934;"08003020";5963;"SRID=4326;LINESTRING(13.78660418215425842448 51.05378761429657430426,13.78706323746693662713 51.05383421779631447635,13.78752446914925400279 51.05388843292182343703)"
1614;2013;"Loschwitzer Straße ";"Königsheimplatz ";"Mendelssohnallee";25.7;24.1;2015-11-16 11:17:24;5964;45.79183;"08004010";5964;"SRID=4326;LINESTRING(13.78752446914925400279 51.05388843292182343703,13.78770814555149826219 51.0538973599492820199,13.78791133985727945799 51.05389579033643343564,13.78817676965234184649 51.05388630812249317614)"
12638;2013;"Hans-Grundig-Straße ";"Holbeinstr. ";"Dürerstr.";30.3;26.9;2015-11-16 11:17:24;6219;116.79492;"08040020";6219;"SRID=4326;LINESTRING(13.76123143320013220148 51.05086924194120712173,13.76140138102708476708 51.05138328462614083492,13.76157133390074172041 51.05189732885881426228)"
1145;2013;"Langer Weg ";"ÖFW 31-Prohlis ";"Ernst-Toller-Str.";26.6;25.1;2015-11-16 11:17:24;8669;33.82182;"10153038";8669;"SRID=4326;LINESTRING(13.80250305273126798511 51.00128720553890815381,13.80233675530958947775 51.00112955482901355708,13.80224702810973624878 51.00102975792675863431)"
2367;2013;"Prohliser Allee ";"Jacob-Winter-Platz ";"Spreewalder Str.";21.1;23.5;2015-11-16 11:17:24;9076;51.47568;"10271040";9076;"SRID=4326;LINESTRING(13.79807493161210452115 51.00439379871791345522,13.79798073841756789193 51.00415643315298552807,13.7979661611094481799 51.00393846604182357396)"
2007;2013;"Wilhelm-Franke-Straße ";"Schilfteichstr. ";"Spitzwegstr.";29.1;24.3;2015-11-16 11:17:24;9863;134.90021;"11109030";9863;"SRID=4326;LINESTRING(13.76793316922807441927 51.01695246301682828971,13.76805552550830036296 51.0165526696273374796,13.76817739195537448893 51.0161777363133523977,13.76824312152538531961 51.01588213100288271562,13.76826587475293095508 51.01575839466364925556)"
12194;2013;"Am Schreiberbach";"Schwarmweg ";"Am Steinhübel";15.9;18.9;2015-11-16 11:17:24;13367;55.57184;"14423010";13367;"SRID=4326;LINESTRING(13.59495534954021245255 51.05490590975000486651,13.59454453207590951536 51.05497097120233718215,13.59417837096645698125 51.05500083930263599541)"
2210;2013;"Wilhelm-Weitling-Straße ";"An der Wostra ";"Siedlerstr.";18.4;18.8;2015-11-16 11:17:24;7515;42.9504;"09184090";7515;"SRID=4326;LINESTRING(13.86713753773656954138 50.99785737386175554775,13.86722261609345530076 50.99765666870300862001,13.86729500739925313724 50.99748417699169777961)"
15034;2013;"Behringstraße ";"Berliner Str. ";"Fröbelstr.";31.6;26.2;2015-11-16 11:17:24;12033;376.2624;"14035030";12033;"SRID=4326;LINESTRING(13.71633526823094406666 51.05503380067857932545,13.71566390354291087306 51.05425872877235349279,13.71525105746247952254 51.05373707653072301582,13.71518244297561928136 51.05365037807376893397,13.71499358690513403758 51.05343783028743587238,13.71439713410016025819 51.05275150508977333175,13.71390526250798913566 51.05210597281870832376,13.71378222582684536235 51.05211462874199668249)"
1654;2013;"Rudolf-Renner-Straße ";"Hühndorfer Str. ";"Unkersdorfer Str.";28.8;25.7;2015-11-16 11:17:24;12149;80.02196;"14053030";12149;"SRID=4326;LINESTRING(13.69170924361408481218 51.05051758267615724662,13.69179900454405895971 51.05016535493850682315,13.6918755662872566603 51.0498058048255529684)"
1763;2013;"Saalhausener Straße ";"Lange Straße ";"Mühlheimer Straße";23.2;23;2015-11-16 11:17:24;11588;140.7659;"13073030";11588;"SRID=4326;LINESTRING(13.68837825074745673248 51.04080892112830980523,13.68823236153532718617 51.04068651929326705385,13.68771964578344935148 51.04033307801058327868,13.68704749979410273397 51.03986199808043977555)"
1287;2013;"Kesselsdorfer Straße ";"Bünaustr. ";"Wernerstr.";37;27.6;2015-11-16 11:17:24;11289;116.84342;"13001050";11289;"SRID=4326;LINESTRING(13.69860223618782590904 51.0435578898810504711,13.697799024469809126 51.04347457067308369005,13.69695623561852215744 51.04339357444462876856)"
1307;2013;"Freiberger Straße ";"Rosenstraße ";"Hirschfelder Straße";28.7;25.2;2015-11-16 11:17:24;10453;149.82324;"12001090";10453;"SRID=4326;LINESTRING(13.71270443780551495649 51.04629703057077705353,13.71196049090429980311 51.0458422366138862003,13.71157299456831779594 51.04562486013769273541,13.71115219378297744868 51.04537140422156937802)"
1271;2013;"Tharandter Straße ";"Schillingstr. ";"Anton-Weck-Str.";38.5;29.2;2015-11-16 11:17:24;10461;157.51479;"12002020";10461;"SRID=4326;LINESTRING(13.7034922757035655394 51.04250451396643484259,13.70343125421140584308 51.0424132108334092095,13.70338849420493687603 51.04230466313769909448,13.70337127849893121834 51.04217670078143243018,13.70335683605523158235 51.04203274291754155456,13.70337443121905174337 51.0419285286072650365,13.70341779769742629469 51.04178177867537868906,13.70348035883188408945 51.04166184363452174466,13.70363780225629213305 51.04141410799113742769,13.70379099528652311335 51.04114544163526545617)"
1099;2013;"Käthe-Kollwitz-Ufer";"Sachsenplatz ";"ÖFW 8-Altstadt II";35.7;27.8;2015-11-16 11:17:24;5975;160.59165;"08005010";5975;"SRID=4326;LINESTRING(13.75675959722696894971 51.05622222482418948175,13.75735115775620087675 51.0564539130906354103,13.75833956427938176148 51.05683400657068915507,13.75871236597113345113 51.05697749978066468657)"
937;2013;"Käthe-Kollwitz-Ufer ";"Händelallee ";"Lothringer Weg";24.3;23.3;2015-11-16 11:17:24;5988;349.74284;"08005140";5988;"SRID=4326;LINESTRING(13.78792235425042278507 51.06002745609504245294,13.78895117214384669069 51.05990539597222266366,13.78951817148478298236 51.05984301422292759298,13.79005896509475981304 51.05977203107975981311,13.79042210364690035362 51.05972584371831146655,13.79090475883081090558 51.05965591863452601729,13.79141658868919328995 51.05958130223648083756,13.79201619057046102057 51.05948427242104514789,13.79279503670267814641 51.05935540396860261581)"
13090;2013;"Am Sägewerk ";"Hornweg ";"Pillnitzer Straße";13;18.2;2015-11-16 11:17:24;5390;191.54281;"07372050";5390;"SRID=4326;LINESTRING(13.90145939809741015836 51.04716465117736845514,13.90162753339170720324 51.04717383760050353203,13.90182094842100291032 51.04715696556936421757,13.9020804594541527166 51.04713782390599874361,13.90234802073067221784 51.04711548121095177066,13.90268201127408076445 51.04708255216807089027,13.90293047276874638385 51.04704086970369303344,13.90315751649486841757 51.04701028151979613767,13.90341539366113110532 51.04696614683730615525,13.90380559461191189996 51.04691414406178751051,13.90414346665855305218 51.04687441095204292196)"
12428;2013;"Bühlauer Straße SW";"Abzweig/HN 36d ";"Aspichring";13.1;18.2;2015-11-16 11:17:24;5521;100.68887;"07410110";5521;"SRID=4326;LINESTRING(13.91603896710310017681 51.03810226582816511609,13.91590151378406758909 51.03785839981856753411,13.91579219004692546946 51.03771764501354368804,13.9155933887686060757 51.03751043951953647593,13.91536168000241069365 51.03731043631461261612)"
2402;2013;"Reichenbachstraße ";"Semperstr./Am Beutlerpark ";"Geinitzstr.";24;23.2;2015-11-16 11:17:24;9501;102.84851;"11029090";9501;"SRID=4326;LINESTRING(13.74472962294755618018 51.03166364189735304535,13.74540702769962763341 51.0315059962813961647,13.7461042408997755615 51.03134133801668781416)"
12602;2013;"Hauptstraße LB";"Forststraße ";"Badstraße";25.9;21.1;2015-11-16 11:17:24;4418;114.11415;"06525010";4418;"SRID=4326;LINESTRING(13.84273937654103292516 51.12643501371859144911,13.84289875860589091872 51.12648541226017329109,13.84289887200449697957 51.1264854493530336299,13.84291086727806607826 51.12648923706561276958,13.84294950414187930221 51.12650145375485521981,13.84297685021366852709 51.1265102853755664114,13.84314634279033029429 51.12656500118729496762,13.84354593179945602799 51.12669005821781098575,13.84384109410779828409 51.12681993568916283266,13.84411250884193478328 51.12697606114481629902)"
12600;2013;"Hauptstraße LB";"Kirchstraße/ÖFW ";"Abzweig/HN 33";19.3;19.6;2015-11-16 11:17:24;4422;145.39072;"06525050";4422;"SRID=4326;LINESTRING(13.84184072978932888986 51.12906231514839561214,13.84138339527312844268 51.12922821426231934083,13.84119618174363708363 51.12930793190428602202,13.84106189025929900538 51.12938818274293595323,13.84092477417738464851 51.12947506002089426147,13.84080910997132640716 51.12955049526335216115,13.84066425697808888629 51.12962897730507449978,13.8404311587151322982 51.12974486603819457287,13.84022274444068756338 51.12987089107880223082)"
2186;2013;"Bismarckstraße ";"An der Post ";"Curt-Guratzsch-Str.";19.6;22;2015-11-16 11:17:24;8571;96.37957;"10142030";8571;"SRID=4326;LINESTRING(13.82520313277798429397 51.00070895479474586409,13.82473911071399541584 51.0009922939192819058,13.82419541620524938708 51.00129750042962228918)"
